__run_id,__done,algorithm,library,dataset,process,accuracy,f1_score,r2,runtime_s,cpu_user_s,cpu_system_s,memory_delta_mb,energy_j,estimated_CO2_kg,
logistic_statsmodels_medium_inference_rep7,DONE,logistic,statsmodels,medium,inference,0.97808,0.9672969297887078,nan,0.633,0.002196708,0.002646457999999999,19.046875,1.5358025344848631,,2.426228332519531
logistic_statsmodels_small_training_rep8,DONE,logistic,statsmodels,small,training,,,,0.634,0.0022385,0.0025753750000000013,17.890625,1.7067254653930664,,2.6919960021972655
logistic_statsmodels_small_inference_rep8,DONE,logistic,statsmodels,small,inference,0.9785,0.9678668182966892,nan,0.634,0.0029235840000000003,0.0033423340000000006,17.96875,1.6928692916870116,,2.6701408386230465
linear_statsmodels_small_training_rep8,DONE,linear,statsmodels,small,training,,,,0.633,0.0027735000000000004,0.0030559160000000005,18.0,1.755017999267578,,2.7725402832031247
linear_statsmodels_small_inference_rep8,DONE,linear,statsmodels,small,inference,nan,nan,0.0096459506580489,0.628,0.002864917,0.003210292,19.203125,1.6036696197509763,,2.5536140441894526
linear_sklearn_large_training_rep8,DONE,linear,sklearn,large,training,,,,1.052,0.0038099159999999996,0.004242458,18.765625,2.8655559621538433,,2.723912511553083
linear_sklearn_large_inference_rep8,DONE,linear,sklearn,large,inference,nan,nan,0.6725440184152253,0.835,0.0024414579999999996,0.002891333999999999,19.046875,2.2757825024922687,,2.7254880269368487
logistic_sklearn_small_training_rep8,DONE,logistic,sklearn,small,training,,,,0.634,0.0028302909999999995,0.0030167500000000003,17.984375,1.634544793701172,,2.5781463623046874
logistic_sklearn_small_inference_rep8,DONE,logistic,sklearn,small,inference,0.9785,0.9678668182966892,nan,0.624,0.002984,0.003277541,18.890625,1.6739840698242188,,2.682666778564453
logistic_sklearn_large_training_rep8,DONE,logistic,sklearn,large,training,,,,1.052,0.0033385,0.0038146250000000003,19.328125,2.949582590920584,,2.803785732814243
logistic_sklearn_large_inference_rep8,DONE,logistic,sklearn,large,inference,1.0,1.0,nan,0.84,0.0026662499999999993,0.0029520830000000003,18.453125,2.403729248046875,,2.8615824381510415
linear_statsmodels_large_training_rep8,DONE,linear,statsmodels,large,training,,,,1.261,0.002414459,0.002782541999999999,17.890625,3.6019085408449176,,2.8563905954360966
linear_statsmodels_large_inference_rep8,DONE,linear,statsmodels,large,inference,nan,nan,0.6725440184152305,1.047,0.006465458,0.0076823329999999995,18.265625,2.7603449108260016,,2.636432579585484
logistic_statsmodels_medium_training_rep8,DONE,logistic,statsmodels,medium,training,,,,1.052,0.003624083,0.004108083,17.984375,2.8186908563886366,,2.6793639319283615
logistic_statsmodels_medium_inference_rep8,DONE,logistic,statsmodels,medium,inference,0.97808,0.9672969297887078,nan,0.841,0.006361459,0.007913875,18.875,2.1701942563851673,,2.580492575963338
linear_statsmodels_medium_training_rep8,DONE,linear,statsmodels,medium,training,,,,0.834,0.003787708,0.004099125,18.578125,2.315610997200012,,2.776511987050374
linear_statsmodels_medium_inference_rep8,DONE,linear,statsmodels,medium,inference,nan,nan,0.5554700019907838,0.634,0.0022559999999999998,0.002772374999999999,19.078125,1.6808004028320311,,2.651104736328125
linear_sklearn_medium_training_rep8,DONE,linear,sklearn,medium,training,,,,0.634,0.002162209,0.002543333,18.453125,1.565168635559082,,2.468720245361328
linear_sklearn_medium_inference_rep8,DONE,linear,sklearn,medium,inference,nan,nan,0.5554700019907828,0.634,0.0024696660000000006,0.0028855,19.390625,1.6389363388061522,,2.585073089599609
logistic_statsmodels_large_training_rep8,DONE,logistic,statsmodels,large,training,,,,6.906,0.0036893329999999995,0.004175208,18.265625,93.78673986241476,,13.580472033364432
logistic_statsmodels_large_inference_rep8,DONE,logistic,statsmodels,large,inference,1.0,1.0,nan,1.052,0.0072880409999999994,0.008571792,18.6875,2.9520433142525806,,2.8061248234340117
logistic_sklearn_medium_training_rep8,DONE,logistic,sklearn,medium,training,,,,0.835,0.004916542,0.005834792,17.9375,2.2758856256802877,,2.7256115277608237
logistic_sklearn_medium_inference_rep8,DONE,logistic,sklearn,medium,inference,0.97808,0.9672969297887078,nan,0.633,0.002263416,0.0026029169999999997,18.046875,1.7070185256958006,,2.696711730957031
linear_sklearn_small_training_rep8,DONE,linear,sklearn,small,training,,,,0.633,0.002807917,0.0031431670000000005,18.078125,1.6095445569992064,,2.5427244186401365
linear_sklearn_small_inference_rep8,DONE,linear,sklearn,small,inference,nan,nan,0.0096459506580444,0.634,0.0031372500000000003,0.0037053330000000016,18.859375,1.7521278818130492,,2.763608646392822
logistic_statsmodels_large_training_rep9,DONE,logistic,statsmodels,large,training,,,,6.696,0.006149083999999999,0.007902,20.34375,93.38566130952273,,13.946484663907219
logistic_statsmodels_large_inference_rep9,DONE,logistic,statsmodels,large,inference,1.0,1.0,nan,1.051,0.004611250000000001,0.005942332999999999,18.703125,2.7044182594844273,,2.573185784476144
